0	112.0	464.0	102.19644	464.24612
8	104.0	547.0	105.11194	584.92474
34	44.14285714285714	656.7142857142858	92.86802	646.90204
39	52.00000000000001	712.6666666666667	60.379578	675.8368
41	52.00000000000001	711.3333333333334	51.596325	676.10376
50	141.66666666666669	731.0000000000001	102.70432	706.5144
52	155.0	730.0	109.70396	710.7467
86	89.0	226.0	77.950066	254.82599
93	124.0	225.0	130.21109	243.53497
107	134.85714285714286	348.57142857142856	98.2414	455.16095
128	181.0	207.0	236.34248	296.78772
134	279.0	203.0	265.63733	239.62903
136	284.0	204.0	288.9098	226.90143
146	248.0	265.0	237.29729	249.41211
151	213.00000000000003	243.0	215.36073	279.1398
203	244.0	706.0	271.2053	700.7897
216	290.5	647.0	302.3355	625.86487
218	272.6666666666667	643.0000000000001	290.31104	611.38074
236	344.0	545.0	288.1799	536.5198
258	328.0	462.0	305.6267	448.0628
263	266.5	503.0	263.24377	486.5964
267	258.0	487.0	266.8626	473.10138
268	261.0	476.0	264.96524	469.11844
288	184.0	485.0	171.81502	449.42056
308	147.0	613.0	111.93685	652.657
313	150.0	617.0	140.47678	628.82874
319	125.0	615.0	117.79088	640.7754
326	102.0	645.0	110.89326	638.753
332	101.0	717.0	74.49066	659.10785
335	74.0	721.0	106.36731	702.3386
338	42.0	685.0	79.19277	684.1185
340	41.0	637.0	80.35771	638.74774
346	50.0	474.0	70.10245	481.65143
348	62.99999999999999	443.0000000000001	84.41555	389.72595
353	71.0	389.0	79.66022	324.73645
359	78.0	330.0	78.383	325.13138
374	112.0	225.0	122.26733	251.15598
376	134.0	252.0	156.90182	266.8238
386	175.0	213.0	189.12144	281.56024
394	289.0	217.0	284.60175	224.03033
399	223.00000000000003	245.0	247.97258	241.70999
404	198.0	293.0	210.7383	298.54327
405	211.99999999999997	293.0	204.69626	288.69415
426	259.0000000000001	618.0000000000001	323.52573	643.3194
450	332.0	625.0	332.937	629.27155
454	305.0	581.0	276.05084	606.0719
458	266.0	525.0	261.15448	577.6117
468	97.0	505.0	83.29533	511.01813
470	104.0	519.0	73.45649	525.961
484	138.0	559.0	132.9815	529.8178
489	146.0	622.0	139.95338	624.83215
493	127.6	631.4000000000001	109.58091	702.29395
498	114.0	620.0	98.76227	622.66223
515	85.0	461.0	84.942696	275.67194
519	86.0	337.0	93.90246	261.89355
565	124.5	461.0	85.53387	469.79422
616	236.25	545.75	255.67381	524.778
635	255.0	519.0	314.26215	629.38837
640	277.33333333333337	557.6666666666667	263.16028	534.2
649	270.0	625.0	255.6641	569.3506
658	248.6	663.4	255.93343	658.5109
697	285.75	502.49999999999994	277.0562	480.97723
701	311.0	495.0	266.102	484.52863
702	317.0	491.0	299.22113	474.94406
711	282.6666666666667	488.0000000000001	300.46808	452.07556
716	186.0	429.0	190.1288	467.0993
729	125.0	539.0	112.18652	522.963
730	125.0	539.0	132.57887	484.48187
749	98.0	493.0	97.38244	469.31168
753	104.0	426.0	90.38015	456.23032
754	104.0	419.0	82.46476	473.2908
775	228.0	301.0	232.52682	310.21915
785	259.0	429.0	252.1867	415.84616
792	196.0	493.0	243.7106	378.91788
804	31.0	547.0	53.669456	539.8091
819	78.0	540.0	66.45162	536.09424
826	195.0	480.99999999999994	149.20895	463.87717
843	198.33333333333334	251.33333333333337	199.20236	283.862
860	171.0	321.0	209.07404	304.76147
861	176.0	353.0	208.97633	324.55096
863	169.0	350.0	216.72449	339.42252
887	77.0	419.0	90.235855	418.42386
888	77.0	433.0	91.39012	420.6756
908	256.0	536.0	244.57938	509.055
915	308.0	577.0	280.72607	611.2383
916	329.0	614.0	312.89944	672.6929
924	291.0	699.0	287.68497	707.79626
928	233.00000000000003	727.0	258.873	698.60724
934	357.0	646.0	325.87766	677.2077
942	347.28571428571433	601.1428571428571	285.1946	590.79675
961	205.0	345.0	213.66551	320.9679
973	84.0	583.0	66.69775	518.875
988	103.0	677.0	110.65904	708.97864
999	102.0	443.0	112.25422	466.911
1002	100.0	418.0	90.941605	452.41174
1005	114.0	375.0	98.969864	432.40887
1021	87.0	452.5	69.36325	486.35327
1036	244.0	547.0	258.6391	516.03674
1040	290.0	570.0	291.6276	559.9458
1045	336.0	644.0	282.4365	704.3964
1067	330.00000000000006	628.3333333333334	329.34195	627.95337
1083	296.0	550.0	302.30255	500.06516
1086	291.0	471.0	259.48706	438.11087
1088	297.0	459.0	267.90918	412.81445
1089	294.0	433.0	267.25238	420.79028
1091	289.0	375.0	262.93832	391.28986
1093	288.0	334.0	256.28125	349.86487
1124	184.5	287.5	197.84708	295.37656
1126	175.0	313.0	176.43132	290.54016
1128	134.0	311.0	162.73048	289.76294
1132	78.0	281.0	69.03378	250.50107
1150	234.0	463.0	251.3729	394.96555
1151	235.0	465.5	257.81958	433.0022
1153	246.0	491.0	256.6064	470.9883
1156	271.0	527.0	256.58185	484.22357
1160	330.0	539.0	264.85382	555.66113
1168	182.0	504.0	218.97343	499.13293
1186	57.0	662.0	55.744057	691.9029
1193	102.0	723.0	87.15592	713.746
1207	128.0	602.0	109.39209	602.0906
1210	103.0	611.0	100.07788	601.5702
1213	70.0	578.0	95.192635	584.6924
1216	35.0	471.99999999999994	81.190865	513.954
1221	70.5	471.75	99.359825	442.53488
1223	73.5	477.25	113.35143	500.9339
1224	75.0	480.0	101.155396	490.34662
1230	136.5	451.5	175.78352	508.04947
1233	168.0	484.0	143.9617	455.23254
1256	78.5	578.5	76.57081	590.9556
1259	62.0	643.0	51.664875	639.51117
1263	71.0	693.5	57.12725	696.1872
1270	108.5	675.0	97.647095	700.1059
