1662735013	-86	c8:5b:4f:86:ed:a2
1662735020	-92	c8:5b:4f:86:ed:a2
1662735034	-80	c8:5b:4f:86:ed:a2
1662735041	-79	c8:5b:4f:86:ed:a2
1662735048	-93	c8:5b:4f:86:ed:a2
1662735055	-81	c8:5b:4f:86:ed:a2
1662735062	-83	c8:5b:4f:86:ed:a2
1662735069	-84	c8:5b:4f:86:ed:a2
1662735076	-89	c8:5b:4f:86:ed:a2
1662735083	-91	c8:5b:4f:86:ed:a2
1662735097	-89	c8:5b:4f:86:ed:a2
1662735104	-84	c8:5b:4f:86:ed:a2
1662735111	-88	c8:5b:4f:86:ed:a2
1662735118	-88	c8:5b:4f:86:ed:a2
1662735126	-87	c8:5b:4f:86:ed:a2
1662735133	-89	c8:5b:4f:86:ed:a2
1662735140	-87	c8:5b:4f:86:ed:a2
1662735147	-85	c8:5b:4f:86:ed:a2
1662735154	-91	c8:5b:4f:86:ed:a2
1662735161	-77	c8:5b:4f:86:ed:a2
1662735168	-59	c8:5b:4f:86:ed:a2
1662735175	-62	c8:5b:4f:86:ed:a2
1662735182	-65	c8:5b:4f:86:ed:a2
1662735189	-69	c8:5b:4f:86:ed:a2
1662735196	-61	c8:5b:4f:86:ed:a2
1662735203	-60	c8:5b:4f:86:ed:a2
1662735210	-71	c8:5b:4f:86:ed:a2
1662735217	-81	c8:5b:4f:86:ed:a2
1662735224	-85	c8:5b:4f:86:ed:a2
1662735232	-75	c8:5b:4f:86:ed:a2
1662735239	-71	c8:5b:4f:86:ed:a2
1662735246	-75	c8:5b:4f:86:ed:a2
1662735253	-90	c8:5b:4f:86:ed:a2
1662735260	-89	c8:5b:4f:86:ed:a2
1662735267	-95	c8:5b:4f:86:ed:a2
1662735274	-81	c8:5b:4f:86:ed:a2
1662735281	-93	c8:5b:4f:86:ed:a2
1662735288	-81	c8:5b:4f:86:ed:a2
1662735302	-93	c8:5b:4f:86:ed:a2
1662735309	-91	c8:5b:4f:86:ed:a2
1662735323	-88	c8:5b:4f:86:ed:a2
1662735330	-90	c8:5b:4f:86:ed:a2
1662735337	-91	c8:5b:4f:86:ed:a2
1662735344	-85	c8:5b:4f:86:ed:a2
1662735352	-89	c8:5b:4f:86:ed:a2
1662735359	-91	c8:5b:4f:86:ed:a2
1662735366	-87	c8:5b:4f:86:ed:a2
1662735387	-89	c8:5b:4f:86:ed:a2
1662735401	-84	c8:5b:4f:86:ed:a2
1662735408	-83	c8:5b:4f:86:ed:a2
1662735415	-73	c8:5b:4f:86:ed:a2
1662735422	-75	c8:5b:4f:86:ed:a2
1662735429	-74	c8:5b:4f:86:ed:a2
1662735436	-75	c8:5b:4f:86:ed:a2
1662735443	-65	c8:5b:4f:86:ed:a2
1662735450	-70	c8:5b:4f:86:ed:a2
1662735457	-63	c8:5b:4f:86:ed:a2
1662735465	-72	c8:5b:4f:86:ed:a2
1662735472	-90	c8:5b:4f:86:ed:a2
1662735479	-79	c8:5b:4f:86:ed:a2
1662735486	-65	c8:5b:4f:86:ed:a2
1662735493	-74	c8:5b:4f:86:ed:a2
1662735500	-84	c8:5b:4f:86:ed:a2
1662735507	-84	c8:5b:4f:86:ed:a2
1662735514	-73	c8:5b:4f:86:ed:a2
1662735521	-82	c8:5b:4f:86:ed:a2
1662735535	-79	c8:5b:4f:86:ed:a2
1662735542	-90	c8:5b:4f:86:ed:a2
1662735549	-89	c8:5b:4f:86:ed:a2
1662735556	-87	c8:5b:4f:86:ed:a2
